Respondent ID,Collector ID,Start Date,End Date,Custom Data 1,Are you currently employed?,What is the size of your current employer?,"Do you own and use a smartphone, such as Apple iPhone, Samsung Galaxie, Google phone, etc?","Overall, I am satisfied working in the organization I'm in.",This organization is a better place to work than other organizations that I've had experience with,Functions of my job that once engaged me no longer do so,I am satisfied on the professional path I am on,I perceive co-workers to be more fulfilled in their jobs than I am.,I feel depressed while at work,"If you identify as strongly agree or agree to question 9, is your depression due to factors in your personal life, professional life, or both.",I am likely to search for new opportunities of employement,"If Strongly Agree or Agree to the question above, what is your general timeline when thinking about your job search?",My time at work brings me personal satisfaction,I go above and beyond what is expected of me at work,I utilize my time at work efficiently,At times I feel fatigued and drowsy at work,"If you answered always, sometimes, or rarely to the question above, would you attribute your fatigue to any or all of the following:",At times I feel lonely,"If you answered always, sometimes, or rarely to the question above, please think about your experience with social media and click all that apply: ",X29,X30,X31,X32,X33,I find it difficult to concentrate on tasks for sustained amounts of time,I complete my tasks on time,"Compared to my peers, I feel I am less efficient at work",I receive positive feedback on the quality of my work,I feel motivated to do my job to the best of my ability,I think others have a better life than me,I feel I have depressive tendencies,"I suffer from poor sleep - either too much, too little, or irregular sleeping patterns","On a scale of 1 - 5, please rate your level of stress","If High Stress or Extremely High Stress, select all of the following symptoms that you experience",X44,X45,X46,X47,X48,X49,X50,X51,X52,I feel lonely,"On average, how many cumulative hours per day do you spend on your mobile device?",Social Media usage makes me feel less lonely,"People check their phones multiple times a day. During your 8 hour workday, please estimate the total time spent on your mobile device on tasks unrelated to work?","Apart from sleep, please estimate in total the number of hours you consciously choose NOT to use your smartphone. For example, personal care time, exercise, prayer/meditation, at work, cooking/eating, etc",I feel a constant need to check my smartphone,I want to limit my smartphone usage,"In general, how much do you feel your smartphone is a distraction while you are trying to concentrate?",My day-to-day smartphone usage enhances the quality of my life,When thinking about days off work (not related to vacation or the care of others) please estimate the number of days missed due to your health and wellness issues?,What is your gender?,What is the highest level of school you have completed or the highest degree you have received?,"In what year were you born? (enter 4-digit birth year; for example, 1976)",About how long have you been in your current position?,X67,Age,Gender,Household Income,Region,Device Type,Org_satisfaction,Better_org,still_engaged,professional_path_sat,coworkers_happier,Depressed_while_at_work,searching_new_employment,personal_satisfaction,go_above,use_time_efficient,fatigued,lonely,difficult_to_concentrate,efficiency_compared_to_peers,positive_feedback,motivated,other_better_lives,depressive_tendencies,bad_sleep,social_media_makes_lonely,feel_constant_need_to_look_at_phone,is_phone_distracting,phone_better_life,phone_at_work_time,stress_level,mobile_per_day,consciously_no_phone,house_income_midpoint
10789908457,237187931,06/11/2019 07:16:39 AM,06/11/2019 07:23:07 AM,d4b4f52ff234e780db84ff86dc,Yes,5000 +,Yes,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Does not apply,Agree,Considering within next 6 months,Agree,Neither agree nor disagree,Agree,Sometimes,Sleep,Never,NA,NA,NA,NA,Don't know / Doesn't apply,NA,Disagree,Usually,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Don't know / Unsure,Little Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know / Not sure,Never,2-3 Hours,Disagree,1-2 Hours,2-3 Hours,Disagree,No - the amount of time I spend on my smartphone is appropriate,Unsure,Disagree,1-3,Male,Bachelor degree,1978,1,10,30-44,Male,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop,4,5,4,4,3,1,4,4,3,4,3,1,2,3,3,3,3,2,NA,2,2,NA,2,1,1,2,2,62500
10789905756,237187931,06/11/2019 07:15:39 AM,06/11/2019 07:18:55 AM,c670ef4f4db198bc525fd69441,Yes,100-500,Yes,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Does not apply,Disagree,Does not apply,Agree,Disagree,Neither agree nor disagree,Rarely,Stress,Sometimes,Social media and texting help me feel more connected and less lonely,NA,NA,NA,NA,NA,Neither agree nor disagree,Usually,Disagree,Agree,Agree,Disagree,Sometimes,Rarely,High Stress,NA,NA,NA,NA,Feelings of anxiety,NA,NA,Lack of focus,NA,NA,Sometimes,1-2 Hours,Agree,1-2 Hours,5 + Hours,Neither agree nor disagree,Yes - I use it too much,Sometimes,Disagree,1-3,Male,Graduate degree,1982,7,0,30-44,Male,"$100,000-$124,999",New England,Windows Desktop / Laptop,5,5,1,5,2,2,2,4,2,3,2,3,3,2,4,4,2,3,2,4,3,3,2,1,3,1,5,112500
10789901940,237187931,06/11/2019 07:13:54 AM,06/11/2019 07:17:30 AM,9bb59cc2f9187c594886562f50,Yes,500-1000,Yes,Strongly agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Personal Life,Strongly disagree,Does not apply,Agree,Agree,Agree,Sometimes,Stress,Sometimes,NA,NA,Sometimes both,NA,NA,NA,Neither agree nor disagree,Usually,Neither agree nor disagree,Agree,Strongly agree,Agree,Always,Sometimes,High Stress,NA,Nausea,NA,Loss of sleep,Feelings of anxiety,Stomache Issues,Changes in appetite,Lack of focus,NA,NA,Sometimes,3-4 Hours,Agree,0-1 Hour,2-3 Hours,Agree,No - the amount of time I spend on my smartphone is appropriate,Sometimes,Agree,3-5,Male,Some college but no degree,1994,0,3,18-29,Male,"$25,000-$49,999",East North Central,Windows Desktop / Laptop,5,5,2,5,3,3,1,4,4,4,3,3,3,3,4,5,4,4,3,4,4,3,4,0,3,3,2,37500
10789901698,237187931,06/11/2019 07:12:55 AM,06/11/2019 07:18:40 AM,872e4d801d91119763f6f8ef09,Yes,5000 +,Yes,Agree,Agree,Agree,Agree,Agree,Disagree,NA,Strongly agree,Considering within next 6 months,Disagree,Agree,Agree,Sometimes,Lack of body movement while at work,Rarely,Social media and texting help me feel more connected and less lonely,NA,NA,NA,NA,NA,Neither agree nor disagree,Always,Disagree,Agree,Disagree,Neither agree nor disagree,Sometimes,Rarely,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never,3-4 Hours,Neither agree nor disagree,2-3 Hours,2-3 Hours,Agree,Yes - I use it too much,Sometimes,Neither agree nor disagree,1-3,Male,Bachelor degree,1987,2,2,30-44,Male,"$75,000-$99,999",Middle Atlantic,Windows Desktop / Laptop,4,4,4,4,4,2,5,2,4,4,3,1,3,2,4,2,3,3,2,3,4,3,3,2,2,3,2,87500
10789901271,237187931,06/11/2019 07:13:38 AM,06/11/2019 07:21:51 AM,ee29eb75a8d02dd608b9c2cbf2,Yes,100-500,Yes,Agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Disagree,Does not apply,Disagree,Does not apply,Agree,Agree,Agree,Rarely,Sleep,Never,NA,NA,NA,NA,Don't know / Doesn't apply,NA,Disagree,Usually,Disagree,Agree,Agree,Agree,Never,Never,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know / Not sure,Never,1-2 Hours,Disagree,0-1 Hour,2-3 Hours,Agree,Don't know / Not sure,Sometimes,Neither agree nor disagree,1-3,Male,Bachelor degree,1991,0,6,18-29,Male,"$25,000-$49,999",East North Central,iOS Phone / Tablet,4,5,3,4,2,2,2,4,4,4,2,1,2,2,4,4,4,1,1,2,4,3,3,0,2,1,2,37500
10789874465,237187931,06/11/2019 07:01:50 AM,06/11/2019 07:05:54 AM,97a561373e607fd94f3aa47075,Yes,100-500,Yes,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Does not apply,Disagree,Does not apply,Neither agree nor disagree,Strongly agree,Agree,Sometimes,Lack of exercise,Never,NA,NA,NA,NA,Don't know / Doesn't apply,NA,Disagree,Always,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,Never,Sometimes,High Stress,NA,NA,Backache,Loss of sleep,NA,Stomache Issues,NA,NA,NA,NA,Never,3-4 Hours,Disagree,0-1 Hour,5 + Hours,Agree,Yes - I use it too much,Sometimes,Agree,1-3,Male,Bachelor degree,1988,7,5,30-44,Male,"$150,000-$174,999",East South Central,Windows Desktop / Laptop,4,4,3,5,2,2,2,3,5,4,3,1,2,1,3,4,1,1,3,2,4,3,4,0,3,3,5,162500
10789855938,237187931,06/11/2019 06:52:34 AM,06/11/2019 06:58:52 AM,21c9a8f6bcac635d222ad5f438,Yes,1000-5000,Yes,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Does not apply,Disagree,Does not apply,Agree,Agree,Neither agree nor disagree,Rarely,Sleep,Sometimes,NA,NA,Sometimes both,NA,NA,NA,Agree,Usually,Disagree,Agree,Agree,Neither agree nor disagree,Sometimes,Sometimes,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,Lack of focus,NA,NA,Sometimes,1-2 Hours,Strongly disagree,0-1 Hour,3-4 Hours,Agree,Yes - I use it too much,Sometimes,Neither agree nor disagree,1-3,Male,Graduate degree,1977,0,6,30-44,Male,"$75,000-$99,999",Middle Atlantic,Windows Desktop / Laptop,4,5,2,4,1,1,2,4,4,3,2,3,4,2,4,4,3,3,3,1,4,3,3,0,2,1,3,87500
10789847385,237187931,06/11/2019 06:48:51 AM,06/11/2019 06:53:07 AM,78f40abeba26b9bd14a7d0101b,Yes,100 people or less,Yes,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Does not apply,Neither agree nor disagree,Does not apply,Agree,Agree,Agree,Sometimes,Unsure / Do not know,Sometimes,NA,NA,NA,Never,NA,NA,Disagree,Usually,Disagree,Agree,Strongly agree,Neither agree nor disagree,Rarely,Rarely,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know / Not sure,Rarely,1-2 Hours,Neither agree nor disagree,0-1 Hour,1-2 Hours,Neither agree nor disagree,Don't know / Not sure,Sometimes,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,3,1,3,4,4,4,3,2,2,2,4,5,3,2,2,3,3,3,4,0,2,1,1,NA
10789831739,237187931,06/11/2019 06:41:26 AM,06/11/2019 06:45:20 AM,4606433a1bc9699462917038f6,Yes,Don't know,Yes,Neither agree nor disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Both,Agree,Considering within next 6 months,Disagree,Agree,Strongly agree,Sometimes,Unsure / Do not know,Always,NA,NA,Sometimes both,NA,NA,NA,Disagree,Always,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Always,Always,Unsure / Do Not Know,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know / Not sure,Always,3-4 Hours,Disagree,1-2 Hours,3-4 Hours,Disagree,Don't know / Not sure,Never,Disagree,0,Male,Graduate degree,1980,5,1,30-44,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet,3,4,5,2,3,4,4,2,4,5,3,4,2,3,3,2,5,4,4,2,2,1,2,1,NA,3,3,37500
10789823714,237187931,06/11/2019 06:37:30 AM,06/11/2019 06:42:38 AM,793defc6d1932a9e14d83a9519,Yes,100-500,Yes,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Does not apply,Neither agree nor disagree,Does not apply,Neither agree nor disagree,Agree,Neither agree nor disagree,Sometimes,Unsure / Do not know,Sometimes,NA,NA,NA,NA,NA,Other - please specify,Disagree,Always,Disagree,Strongly agree,Agree,NA,Sometimes,Rarely,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,1-2 Hours,Neither agree nor disagree,0-1 Hour,5 + Hours,Strongly disagree,No - the amount of time I spend on my smartphone is appropriate,Never,Neither agree nor disagree,1-3,Male,Bachelor degree,1989,2,3,30-44,Male,"$100,000-$124,999",East South Central,Windows Desktop / Laptop,4,3,4,4,2,3,3,3,4,3,3,3,2,2,5,4,NA,3,2,3,1,1,3,0,2,1,5,112500
10789771013,237187931,06/11/2019 06:09:54 AM,06/11/2019 06:12:51 AM,dc45d29d3d03e958c5ca4fc348,Yes,100 people or less,Yes,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Does not apply,Disagree,Does not apply,Neither agree nor disagree,Disagree,Agree,Sometimes,Lack of body movement while at work,Rarely,NA,NA,NA,NA,Don't know / Doesn't apply,NA,Disagree,Always,Disagree,Disagree,Agree,Disagree,Sometimes,Rarely,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know / Not sure,Rarely,0-1 Hour,Neither agree nor disagree,0-1 Hour,5 + Hours,Disagree,No - the amount of time I spend on my smartphone is appropriate,Never,Disagree,1-3,Male,Graduate degree,1976,2,6,30-44,Male,Prefer not to answer,East North Central,Windows Desktop / Laptop,4,4,3,4,2,3,2,3,2,4,3,2,2,2,2,4,2,3,2,3,2,1,2,0,2,0,5,NA
10789751148,237187931,06/11/2019 05:57:39 AM,06/11/2019 06:02:27 AM,e7f1121b785593a24705ae9148,Yes,5000 +,Yes,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Work Life,Agree,Actively looking,Strongly disagree,Disagree,Agree,Sometimes,Lack of body movement while at work,Sometimes,NA,NA,NA,NA,Don't know / Doesn't apply,NA,Strongly agree,Sometimes,Strongly agree,Agree,Agree,Strongly agree,Always,Sometimes,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,Lack of focus,NA,NA,Sometimes,3-4 Hours,Disagree,0-1 Hour,5 + Hours,Disagree,No - the amount of time I spend on my smartphone is appropriate,Sometimes,Agree,0,Male,Bachelor degree,1979,19,10,30-44,Male,"$100,000-$124,999",Middle Atlantic,Android Phone / Tablet,1,3,5,1,5,5,4,1,2,4,3,3,5,5,4,4,5,4,3,2,2,3,4,0,2,3,5,112500
10789709315,237187931,06/11/2019 05:30:32 AM,06/11/2019 05:44:34 AM,db935c983f0dda37832f5e8dc2,Yes,100 people or less,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Does not apply,Disagree,Does not apply,Agree,Neither agree nor disagree,Neither agree nor disagree,Always,Sleep,Rarely,Social media and texting help me feel more connected and less lonely,NA,NA,NA,NA,NA,Neither agree nor disagree,Usually,Neither agree nor disagree,Disagree,Disagree,Agree,Never,Sometimes,Unsure / Do Not Know,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know / Not sure,Rarely,2-3 Hours,Neither agree nor disagree,2-3 Hours,1-2 Hours,Neither agree nor disagree,Don't know / Not sure,Sometimes,Neither agree nor disagree,0,Male,Bachelor degree,1987,9,8,30-44,Male,Prefer not to answer,New England,Windows Desktop / Laptop,3,3,3,3,3,2,2,4,3,3,4,2,3,3,2,2,4,1,3,3,3,3,3,2,NA,2,1,NA
10789692339,237187931,06/11/2019 05:19:03 AM,06/11/2019 05:27:47 AM,5c6f081e4611bc95672325f71a,Yes,1000-5000,Yes,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Does not apply,Strongly disagree,Does not apply,Agree,Disagree,Neither agree nor disagree,Sometimes,Lack of exercise,Rarely,NA,NA,NA,Never,NA,NA,Neither agree nor disagree,Usually,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Always,Sometimes,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know / Not sure,Sometimes,2-3 Hours,Neither agree nor disagree,0-1 Hour,2-3 Hours,Disagree,No - the amount of time I spend on my smartphone is appropriate,Never,Agree,0,Male,Associate degree,1965,17,9,45-60,Male,"$100,000-$124,999",West South Central,Android Phone / Tablet,5,5,3,5,3,3,1,4,2,3,3,3,3,4,3,4,3,4,3,3,2,1,4,0,2,2,2,112500
